File,Size,BlockSize,CompressionRatio,OfficialRatio,Time,OfficialTime,Memory
20kb.sql,20194,900000,23.45,21.21,0.0267,0.0022,Approx. 4MB
500kb.docx,512215,900000,100.27,100.35,0.2557,0.0495,Approx. 4MB
792kb.docx,810390,900000,100.31,100.32,0.3924,0.0706,Approx. 4MB
5mb.png,5342880,900000,100.33,100.38,2.7761,0.5803,Approx. 4MB
5mb.csv,5442952,900000,37.12,32.98,3.9521,0.3796,Approx. 4MB
20mb.xlsx,20698416,900000,97.14,96.69,11.4911,2.2464,Approx. 4MB
20mb.csv,21071544,900000,37.14,33.0,14.9876,1.6541,Approx. 4MB
50mb.xlsx,52103776,900000,96.94,96.28,28.9317,5.4785,Approx. 4MB
50mb.png,52528800,900000,100.33,100.37,28.2762,6.1016,Approx. 4MB
70mb.mp4,72831194,900000,98.65,98.43,43.2703,7.7778,Approx. 4MB
100mb.csv,104957620,900000,37.18,33.04,83.3639,8.1737,Approx. 4MB
